ID,NAME,LABEL
1,cropped_10_1_0.jpeg,D
2,cropped_10_1_1.jpeg,A
3,cropped_10_1_10.jpeg,D
4,cropped_10_1_11.jpeg,A
5,cropped_10_1_12.jpeg,B
6,cropped_10_1_13.jpeg,B
7,cropped_10_1_14.jpeg,A
8,cropped_10_1_15.jpeg,A
9,cropped_10_1_16.jpeg,B
10,cropped_10_1_17.jpeg,B
11,cropped_10_1_18.jpeg,C
12,cropped_10_1_19.jpeg,C
13,cropped_10_1_2.jpeg,C
14,cropped_10_1_20.jpeg,C
15,cropped_10_1_21.jpeg,A
16,cropped_10_1_22.jpeg,D
17,cropped_10_1_23.jpeg,A
18,cropped_10_1_24.jpeg,B
19,cropped_10_1_25.jpeg,A
20,cropped_10_1_26.jpeg,B
21,cropped_10_1_27.jpeg,C
22,cropped_10_1_28.jpeg,A
23,cropped_10_1_29.jpeg,A
24,cropped_10_1_3.jpeg,C
25,cropped_10_1_30.jpeg,B
26,cropped_10_1_31.jpeg,A
27,cropped_10_1_32.jpeg,C
28,cropped_10_1_33.jpeg,D
29,cropped_10_1_34.jpeg,C
30,cropped_10_1_35.jpeg,C
31,cropped_10_1_36.jpeg,C
32,cropped_10_1_37.jpeg,B
33,cropped_10_1_38.jpeg,B
34,cropped_10_1_39.jpeg,A
35,cropped_10_1_4.jpeg,C
36,cropped_10_1_40.jpeg,C
37,cropped_10_1_41.jpeg,C
38,cropped_10_1_42.jpeg,A
39,cropped_10_1_43.jpeg,A
40,cropped_10_1_44.jpeg,A
41,cropped_10_1_45.jpeg,A
42,cropped_10_1_46.jpeg,D
43,cropped_10_1_47.jpeg,D
44,cropped_10_1_48.jpeg,B
45,cropped_10_1_49.jpeg,C
46,cropped_10_1_5.jpeg,D
47,cropped_10_1_6.jpeg,A
48,cropped_10_1_7.jpeg,D
49,cropped_10_1_8.jpeg,C
50,cropped_10_1_9.jpeg,B
51,cropped_11_1_0.jpeg,C
52,cropped_11_1_1.jpeg,X
53,cropped_11_1_10.jpeg,C
54,cropped_11_1_11.jpeg,A
55,cropped_11_1_12.jpeg,D
56,cropped_11_1_13.jpeg,D
57,cropped_11_1_14.jpeg,A
58,cropped_11_1_15.jpeg,C
59,cropped_11_1_16.jpeg,B
60,cropped_11_1_17.jpeg,B
61,cropped_11_1_18.jpeg,C
62,cropped_11_1_19.jpeg,A
63,cropped_11_1_2.jpeg,X
64,cropped_11_1_20.jpeg,C
65,cropped_11_1_21.jpeg,C
66,cropped_11_1_22.jpeg,D
67,cropped_11_1_23.jpeg,B
68,cropped_11_1_24.jpeg,B
69,cropped_11_1_25.jpeg,A
70,cropped_11_1_26.jpeg,D
71,cropped_11_1_27.jpeg,C
72,cropped_11_1_28.jpeg,A
73,cropped_11_1_29.jpeg,X
74,cropped_11_1_3.jpeg,A
75,cropped_11_1_30.jpeg,A
76,cropped_11_1_31.jpeg,C
77,cropped_11_1_32.jpeg,A
78,cropped_11_1_33.jpeg,D
79,cropped_11_1_34.jpeg,X
80,cropped_11_1_35.jpeg,B
81,cropped_11_1_36.jpeg,B
82,cropped_11_1_37.jpeg,D
83,cropped_11_1_38.jpeg,B
84,cropped_11_1_39.jpeg,B
85,cropped_11_1_4.jpeg,C
86,cropped_11_1_40.jpeg,C
87,cropped_11_1_41.jpeg,D
88,cropped_11_1_42.jpeg,A
89,cropped_11_1_43.jpeg,A
90,cropped_11_1_44.jpeg,A
91,cropped_11_1_45.jpeg,B
92,cropped_11_1_46.jpeg,D
93,cropped_11_1_47.jpeg,C
94,cropped_11_1_48.jpeg,B
95,cropped_11_1_49.jpeg,D
96,cropped_11_1_5.jpeg,A
97,cropped_11_1_6.jpeg,B
98,cropped_11_1_7.jpeg,B
99,cropped_11_1_8.jpeg,C
100,cropped_11_1_9.jpeg,D
101,cropped_12_1_0.jpeg,C
102,cropped_12_1_1.jpeg,D
103,cropped_12_1_10.jpeg,0
104,cropped_12_1_11.jpeg,A
105,cropped_12_1_12.jpeg,B
106,cropped_12_1_13.jpeg,C
107,cropped_12_1_14.jpeg,A
108,cropped_12_1_15.jpeg,C
109,cropped_12_1_16.jpeg,B
110,cropped_12_1_17.jpeg,D
111,cropped_12_1_18.jpeg,C
112,cropped_12_1_19.jpeg,C
113,cropped_12_1_2.jpeg,A
114,cropped_12_1_20.jpeg,A
115,cropped_12_1_21.jpeg,A
116,cropped_12_1_22.jpeg,B
117,cropped_12_1_23.jpeg,B
118,cropped_12_1_24.jpeg,B
119,cropped_12_1_25.jpeg,D
120,cropped_12_1_26.jpeg,D
121,cropped_12_1_27.jpeg,C
122,cropped_12_1_28.jpeg,C
123,cropped_12_1_29.jpeg,A
124,cropped_12_1_3.jpeg,D
125,cropped_12_1_30.jpeg,B
126,cropped_12_1_31.jpeg,A
127,cropped_12_1_32.jpeg,0
128,cropped_12_1_33.jpeg,B
129,cropped_12_1_34.jpeg,C
130,cropped_12_1_35.jpeg,C
131,cropped_12_1_36.jpeg,B
132,cropped_12_1_37.jpeg,D
133,cropped_12_1_38.jpeg,0
134,cropped_12_1_39.jpeg,B
135,cropped_12_1_4.jpeg,B
136,cropped_12_1_40.jpeg,B
137,cropped_12_1_41.jpeg,A
138,cropped_12_1_42.jpeg,B
139,cropped_12_1_43.jpeg,C
140,cropped_12_1_44.jpeg,D
141,cropped_12_1_45.jpeg,A
142,cropped_12_1_46.jpeg,D
143,cropped_12_1_47.jpeg,A
144,cropped_12_1_48.jpeg,A
145,cropped_12_1_49.jpeg,C
146,cropped_12_1_5.jpeg,B
147,cropped_12_1_6.jpeg,A
148,cropped_12_1_7.jpeg,B
149,cropped_12_1_8.jpeg,C
150,cropped_12_1_9.jpeg,0
151,cropped_12_2_0.jpeg,D
152,cropped_12_2_1.jpeg,0
153,cropped_12_2_10.jpeg,D
154,cropped_12_2_11.jpeg,A
155,cropped_12_2_12.jpeg,D
156,cropped_12_2_13.jpeg,D
157,cropped_12_2_14.jpeg,A
158,cropped_12_2_15.jpeg,C
159,cropped_12_2_16.jpeg,B
160,cropped_12_2_17.jpeg,0
161,cropped_12_2_18.jpeg,D
162,cropped_12_2_19.jpeg,B
163,cropped_12_2_2.jpeg,C
164,cropped_12_2_20.jpeg,C
165,cropped_12_2_21.jpeg,A
166,cropped_12_2_22.jpeg,D
167,cropped_12_2_23.jpeg,B
168,cropped_12_2_24.jpeg,B
169,cropped_12_2_25.jpeg,A
170,cropped_12_2_26.jpeg,B
171,cropped_12_2_27.jpeg,0
172,cropped_12_2_28.jpeg,A
173,cropped_12_2_29.jpeg,A
174,cropped_12_2_3.jpeg,A
175,cropped_12_2_30.jpeg,B
176,cropped_12_2_31.jpeg,A
177,cropped_12_2_32.jpeg,C
178,cropped_12_2_33.jpeg,0
179,cropped_12_2_34.jpeg,C
180,cropped_12_2_35.jpeg,0
181,cropped_12_2_36.jpeg,0
182,cropped_12_2_37.jpeg,D
183,cropped_12_2_38.jpeg,0
184,cropped_12_2_39.jpeg,B
185,cropped_12_2_4.jpeg,0
186,cropped_12_2_40.jpeg,0
187,cropped_12_2_41.jpeg,B
188,cropped_12_2_42.jpeg,0
189,cropped_12_2_43.jpeg,X
190,cropped_12_2_44.jpeg,A
191,cropped_12_2_45.jpeg,A
192,cropped_12_2_46.jpeg,0
193,cropped_12_2_47.jpeg,A
194,cropped_12_2_48.jpeg,B
195,cropped_12_2_49.jpeg,C
196,cropped_12_2_5.jpeg,D
197,cropped_12_2_6.jpeg,A
198,cropped_12_2_7.jpeg,B
199,cropped_12_2_8.jpeg,0
200,cropped_12_2_9.jpeg,B
201,cropped_12_3_0.jpeg,D
202,cropped_12_3_1.jpeg,0
203,cropped_12_3_10.jpeg,D
204,cropped_12_3_11.jpeg,A
205,cropped_12_3_12.jpeg,B
206,cropped_12_3_13.jpeg,B
207,cropped_12_3_14.jpeg,D
208,cropped_12_3_15.jpeg,A
209,cropped_12_3_16.jpeg,C
210,cropped_12_3_17.jpeg,A
211,cropped_12_3_18.jpeg,B
212,cropped_12_3_19.jpeg,B
213,cropped_12_3_2.jpeg,B
214,cropped_12_3_20.jpeg,0
215,cropped_12_3_21.jpeg,X
216,cropped_12_3_22.jpeg,D
217,cropped_12_3_23.jpeg,A
218,cropped_12_3_24.jpeg,B
219,cropped_12_3_25.jpeg,D
220,cropped_12_3_26.jpeg,B
221,cropped_12_3_27.jpeg,C
222,cropped_12_3_28.jpeg,D
223,cropped_12_3_29.jpeg,A
224,cropped_12_3_3.jpeg,B
225,cropped_12_3_30.jpeg,B
226,cropped_12_3_31.jpeg,0
227,cropped_12_3_32.jpeg,0
228,cropped_12_3_33.jpeg,B
229,cropped_12_3_34.jpeg,C
230,cropped_12_3_35.jpeg,B
231,cropped_12_3_36.jpeg,B
232,cropped_12_3_37.jpeg,D
233,cropped_12_3_38.jpeg,B
234,cropped_12_3_39.jpeg,A
235,cropped_12_3_4.jpeg,0
236,cropped_12_3_40.jpeg,0
237,cropped_12_3_41.jpeg,D
238,cropped_12_3_42.jpeg,C
239,cropped_12_3_43.jpeg,A
240,cropped_12_3_44.jpeg,B
241,cropped_12_3_45.jpeg,D
242,cropped_12_3_46.jpeg,X
243,cropped_12_3_47.jpeg,A
244,cropped_12_3_48.jpeg,B
245,cropped_12_3_49.jpeg,C
246,cropped_12_3_5.jpeg,D
247,cropped_12_3_6.jpeg,A
248,cropped_12_3_7.jpeg,C
249,cropped_12_3_8.jpeg,C
250,cropped_12_3_9.jpeg,C
251,cropped_12_4_0.jpeg,C
252,cropped_12_4_1.jpeg,0
253,cropped_12_4_10.jpeg,C
254,cropped_12_4_11.jpeg,0
255,cropped_12_4_12.jpeg,B
256,cropped_12_4_13.jpeg,0
257,cropped_12_4_14.jpeg,A
258,cropped_12_4_15.jpeg,0
259,cropped_12_4_16.jpeg,0
260,cropped_12_4_17.jpeg,C
261,cropped_12_4_18.jpeg,0
262,cropped_12_4_19.jpeg,0
263,cropped_12_4_2.jpeg,A
264,cropped_12_4_20.jpeg,0
265,cropped_12_4_21.jpeg,0
266,cropped_12_4_22.jpeg,0
267,cropped_12_4_23.jpeg,A
268,cropped_12_4_24.jpeg,C
269,cropped_12_4_25.jpeg,D
270,cropped_12_4_26.jpeg,C
271,cropped_12_4_27.jpeg,0
272,cropped_12_4_28.jpeg,A
273,cropped_12_4_29.jpeg,C
274,cropped_12_4_3.jpeg,B
275,cropped_12_4_30.jpeg,A
276,cropped_12_4_31.jpeg,B
277,cropped_12_4_32.jpeg,0
278,cropped_12_4_33.jpeg,0
279,cropped_12_4_34.jpeg,0
280,cropped_12_4_35.jpeg,0
281,cropped_12_4_36.jpeg,0
282,cropped_12_4_37.jpeg,D
283,cropped_12_4_38.jpeg,B
284,cropped_12_4_39.jpeg,C
285,cropped_12_4_4.jpeg,B
286,cropped_12_4_40.jpeg,B
287,cropped_12_4_41.jpeg,C
288,cropped_12_4_42.jpeg,0
289,cropped_12_4_43.jpeg,0
290,cropped_12_4_44.jpeg,D
291,cropped_12_4_45.jpeg,C
292,cropped_12_4_46.jpeg,D
293,cropped_12_4_47.jpeg,A
294,cropped_12_4_48.jpeg,C
295,cropped_12_4_49.jpeg,C
296,cropped_12_4_5.jpeg,C
297,cropped_12_4_6.jpeg,A
298,cropped_12_4_7.jpeg,B
299,cropped_12_4_8.jpeg,0
300,cropped_12_4_9.jpeg,0
301,cropped_12_5_0.jpeg,C
302,cropped_12_5_1.jpeg,D
303,cropped_12_5_10.jpeg,0
304,cropped_12_5_11.jpeg,C
305,cropped_12_5_12.jpeg,C
306,cropped_12_5_13.jpeg,B
307,cropped_12_5_14.jpeg,0
308,cropped_12_5_15.jpeg,C
309,cropped_12_5_16.jpeg,C
310,cropped_12_5_17.jpeg,0
311,cropped_12_5_18.jpeg,0
312,cropped_12_5_19.jpeg,A
313,cropped_12_5_2.jpeg,0
314,cropped_12_5_20.jpeg,C
315,cropped_12_5_21.jpeg,C
316,cropped_12_5_22.jpeg,0
317,cropped_12_5_23.jpeg,A
318,cropped_12_5_24.jpeg,B
319,cropped_12_5_25.jpeg,B
320,cropped_12_5_26.jpeg,B
321,cropped_12_5_27.jpeg,C
322,cropped_12_5_28.jpeg,A
323,cropped_12_5_29.jpeg,A
324,cropped_12_5_3.jpeg,0
325,cropped_12_5_30.jpeg,X
326,cropped_12_5_31.jpeg,B
327,cropped_12_5_32.jpeg,0
